turn,fromRank,fromFile,toRank,toFile,timeSpent,ELO,win
32,3,4,5,5,9,1758,0
38,5,5,4,3,11,1758,0
2,7,6,5,5,1,2165,1
14,7,1,6,3,7,2165,1
16,6,3,5,1,4,2165,1
34,5,5,4,3,16,2165,1
36,5,1,4,3,14,2165,1
8,7,1,5,2,4,2066,1
14,7,6,5,5,7,2066,1
24,5,5,3,6,8,2066,1
28,3,6,5,5,8,2066,1
38,5,5,4,3,12,2066,1
40,4,3,2,2,10,2066,1
4,7,6,5,5,2,1897,0
6,5,5,4,3,2,1897,0
8,4,3,5,1,2,1897,0
16,7,1,5,2,8,1897,0
26,5,2,3,3,9,1897,0
10,7,1,5,2,5,1965,1
12,7,6,5,5,6,1965,1
26,5,5,3,6,10,1965,1
28,5,2,4,4,11,1965,1
32,4,4,3,2,9,1965,1
36,3,6,5,5,11,1965,1
60,5,5,3,4,21,1965,1
4,7,1,5,2,2,2177,1
28,5,2,6,4,13,2177,1
40,6,4,5,2,13,2177,1
44,7,6,5,5,22,2177,1
46,5,2,4,0,13,2177,1
52,4,0,2,1,14,2177,1
58,5,5,4,7,18,2177,1
74,4,7,6,6,22,2177,1
76,6,6,5,4,19,2177,1
78,5,4,3,3,20,2177,1
80,3,3,2,5,20,2177,1
4,7,1,5,2,2,2158,1
8,7,6,5,5,4,2158,1
18,5,2,7,1,8,2158,1
32,7,1,6,3,11,2158,1
4,7,1,5,2,2,1903,0
8,7,6,5,5,4,1903,0
18,5,2,6,4,8,1903,0
22,6,4,5,6,6,1903,0
24,5,6,3,5,6,1903,0
34,5,5,6,3,15,1903,0
38,6,3,4,4,10,1903,0
4,7,1,5,2,2,2350,1
12,7,6,6,4,6,2350,1
22,6,4,5,2,8,2350,1
24,5,2,3,3,6,2350,1
2,7,6,5,5,1,1910,0
4,5,5,3,4,1,1910,0
6,7,1,5,2,3,1910,0
2,7,1,5,2,1,2033,1
6,7,6,5,5,3,2033,1
14,5,5,7,6,5,2033,1
24,7,6,6,4,8,2033,1
26,6,4,5,6,7,2033,1
